iter	Passed	Remaining
0	1	157
1	2	128
2	3	117
3	4	110
4	5	104
5	6	102
6	7	102
7	8	100
8	9	98
9	10	96
10	11	94
11	12	93
12	13	91
13	14	89
14	15	88
15	16	86
16	17	83
17	17	81
18	18	79
19	19	77
20	20	76
21	21	75
22	22	74
23	23	73
24	23	71
25	24	70
26	25	68
27	26	67
28	26	66
29	27	65
30	28	63
31	29	62
32	30	61
33	31	60
34	31	59
35	32	58
36	33	56
37	34	55
38	35	54
39	35	53
40	36	52
41	37	51
42	38	50
43	39	49
44	39	48
45	40	47
46	41	46
47	42	45
48	43	44
49	43	43
50	44	42
51	45	41
52	46	40
53	46	39
54	47	39
55	48	38
56	49	37
57	50	36
58	51	35
59	51	34
60	52	33
61	53	32
62	54	31
63	55	31
64	55	30
65	56	29
66	57	28
67	58	27
68	59	26
69	60	25
70	60	24
71	61	23
72	62	23
73	63	22
74	64	21
75	64	20
76	65	19
77	66	18
78	67	17
79	68	17
80	69	16
81	70	15
82	70	14
83	71	13
84	72	12
85	73	11
86	74	11
87	75	10
88	76	9
89	76	8
90	77	7
91	78	6
92	79	5
93	80	5
94	81	4
95	82	3
96	83	2
97	84	1
98	84	0
99	85	0
